time_range,group_gain,stu_id
00.00-01.00,พักผ่อน,8
00.00-01.00,ฟิน,2
00.00-01.00,สดชื่น,11
00.00-01.00,ออกกำลังกาย,4
00.00-01.00,เรียนรู้สิ่งใหม่,3
00.00-01.00,ได้เงิน,1
01.00-02.00,พักผ่อน,3
01.00-02.00,สดชื่น,2
01.00-02.00,ออกกำลังกาย,1
01.00-02.00,เรียนรู้สิ่งใหม่,1
02.00-03.00,ออกกำลังกาย,2
02.00-03.00,เรียนรู้สิ่งใหม่,1
03.00-04.00,สดชื่น,1
05.00-06.00,พักผ่อน,2
05.00-06.00,สดชื่น,7
06.00-07.00,พักผ่อน,7
06.00-07.00,ฟิน,3
06.00-07.00,สดชื่น,24
06.00-07.00,อิ่ม,1
06.00-07.00,เรียนรู้สิ่งใหม่,2
06.00-07.00,ได้เงิน,1
07.00-08.00,ทำการบ้าน,1
07.00-08.00,พักผ่อน,16
07.00-08.00,ฟิน,3
07.00-08.00,สดชื่น,47
07.00-08.00,อิ่ม,1
07.00-08.00,เรียนรู้สิ่งใหม่,2
07.00-08.00,ได้เงิน,1
08.00-09.00,พักผ่อน,28
08.00-09.00,ฟิน,1
08.00-09.00,สดชื่น,64
08.00-09.00,เรียนรู้สิ่งใหม่,3
08.00-09.00,ได้เงิน,4
09.00-10.00,พักผ่อน,16
09.00-10.00,ฟิน,2
09.00-10.00,สดชื่น,39
09.00-10.00,อิ่ม,5
09.00-10.00,ได้เงิน,2
10.00-11.00,ทำการบ้าน,1
10.00-11.00,พักผ่อน,3
10.00-11.00,สดชื่น,21
10.00-11.00,อิ่ม,2
10.00-11.00,เรียนรู้สิ่งใหม่,1
10.00-11.00,ได้เงิน,4
11.00-12.00,พักผ่อน,5
11.00-12.00,ฟิน,1
11.00-12.00,สดชื่น,12
11.00-12.00,ออกกำลังกาย,1
11.00-12.00,อิ่ม,1
11.00-12.00,ได้เงิน,1
12.00-13.00,พักผ่อน,10
12.00-13.00,ฟิน,4
12.00-13.00,สดชื่น,33
12.00-13.00,ออกกำลังกาย,3
12.00-13.00,อิ่ม,2
12.00-13.00,เรียนรู้สิ่งใหม่,4
12.00-13.00,ได้เงิน,1
13.00-14.00,ทำการบ้าน,1
13.00-14.00,พักผ่อน,12
13.00-14.00,ฟิน,1
13.00-14.00,สดชื่น,30
13.00-14.00,เรียนรู้สิ่งใหม่,1
13.00-14.00,ได้เงิน,2
14.00-15.00,พักผ่อน,1
14.00-15.00,ฟิน,2
14.00-15.00,สดชื่น,22
14.00-15.00,อิ่ม,1
14.00-15.00,เรียนรู้สิ่งใหม่,1
14.00-15.00,ได้เงิน,2
15.00-16.00,ทำการบ้าน,1
15.00-16.00,พักผ่อน,8
15.00-16.00,ฟิน,1
15.00-16.00,สดชื่น,13
15.00-16.00,ได้เงิน,2
16.00-17.00,พักผ่อน,6
16.00-17.00,ฟิน,3
16.00-17.00,สดชื่น,16
16.00-17.00,ออกกำลังกาย,1
16.00-17.00,เรียนรู้สิ่งใหม่,1
17.00-18.00,พักผ่อน,4
17.00-18.00,ฟิน,7
17.00-18.00,สดชื่น,24
17.00-18.00,ได้เงิน,1
18.00-19.00,พักผ่อน,10
18.00-19.00,ฟิน,8
18.00-19.00,สดชื่น,29
18.00-19.00,ได้เงิน,2
19.00-20.00,พักผ่อน,9
19.00-20.00,ฟิน,7
19.00-20.00,สดชื่น,26
19.00-20.00,อิ่ม,1
19.00-20.00,เรียนรู้สิ่งใหม่,3
19.00-20.00,ได้เงิน,1
20.00-21.00,พักผ่อน,6
20.00-21.00,ฟิน,8
20.00-21.00,สดชื่น,28
20.00-21.00,ออกกำลังกาย,1
20.00-21.00,อิ่ม,2
20.00-21.00,เรียนรู้สิ่งใหม่,1
20.00-21.00,ได้เงิน,3
21.00-22.00,ทำการบ้าน,1
21.00-22.00,พักผ่อน,11
21.00-22.00,ฟิน,7
21.00-22.00,สดชื่น,24
21.00-22.00,ได้เงิน,1
22.00-23.00,พักผ่อน,5
22.00-23.00,ฟิน,7
22.00-23.00,สดชื่น,21
22.00-23.00,เรียนรู้สิ่งใหม่,1
22.00-23.00,ได้เงิน,2
23.00-24.00,พักผ่อน,3
23.00-24.00,ฟิน,5
23.00-24.00,สดชื่น,14
23.00-24.00,ออกกำลังกาย,2
23.00-24.00,เรียนรู้สิ่งใหม่,3
23.00-24.00,ได้เงิน,3
